Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1160,0,0,0,284.65,0,223.3,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1180,0,0,0,267.45,0,203.5,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1200,0,0,0,133,133,183.85,0,0,0,550,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1220,0,0,0,234.3,0,164.45,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1240,0,0,0,94.05,93.7,145.45,0,0,0,2750,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1260,0,0,0,109.8,109.8,126.95,0,0,0,1650,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1280,0,0,0,65,65,109.2,0,0,0,550,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1300,0,0,0,79.9,79.9,92.45,0,0,0,5500,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1320,70,70,70,70,70,70,1,7.65,0.39,10450,-550,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1340,53.55,55,45.25,55,55,55,6,45.84,1.62,13750,-550,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1360,48.45,48.45,34.4,38.8,35,38.8,45,346.34,9.74,23650,-1100,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1380,40.1,43,25,28.2,25.6,28.2,109,846.46,19.15,39050,6050,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1400,32,32,17.75,20.3,18,20.3,346,2711.4,47.2,121000,-3300,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1420,23.45,24,12,14.25,12.5,14.25,338,2670.27,30.49,46200,2200,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1440,14.6,17.75,8.15,8.95,8.55,8.95,241,1926.03,17.31,31900,6600,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1460,11,12.1,6,6.5,6.15,6.5,35,282.67,1.62,20350,-1100,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1480,8,10.05,5.45,5.6,5.6,5.6,7,57.27,0.29,8250,550,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1500,3.75,3.75,2.75,3,2.75,3,41,338.99,0.74,37950,2750,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1520,0,0,0,3.5,3.5,3.8,0,0,0,1100,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1540,0,0,0,5.75,5.75,2.5,0,0,0,2200,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1560,0,0,0,3.7,3.7,1.6,0,0,0,1100,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1580,0,0,0,3.2,3.2,1,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1600,0,0,0,1.5,1.5,0.6,0,0,0,1650,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1620,0,0,0,35.4,0,0.35,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1640,0,0,0,31.3,0,0.25,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1660,0,0,0,27.7,0,0.15,0,0,0,0,0,1379.1
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1020,0,0,0,413.75,0,403.75,0,0,0,0,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1660,0,0,0,27.7,0,0.45,0,0,0,0,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1060,0,0,0,375.75,0,363.9,0,0,0,0,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1080,0,0,0,270,270,343.95,0,0,0,550,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1100,0,0,0,216.5,216.5,324,0,0,0,1100,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1120,0,0,0,205,205,304.05,0,0,0,550,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1140,0,0,0,302.25,0,284.15,0,0,0,0,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1160,0,0,0,284.65,0,264.2,0,0,0,0,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1180,0,0,0,267.45,0,244.3,0,0,0,0,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1200,0,0,0,133,133,224.45,0,0,0,550,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1220,0,0,0,234.3,0,204.7,0,0,0,0,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1240,0,0,0,94.05,93.7,185.1,0,0,0,2750,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1260,0,0,0,109.8,109.8,165.75,0,0,0,1650,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1280,0,0,0,65,65,146.75,0,0,0,550,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1300,0,0,0,79.9,79.9,128.35,0,0,0,5500,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1320,105,105,105,105,105,105,1,7.84,0.58,9900,-550,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1340,59.2,88,59.2,88,88,88,5,38.98,2.13,12650,-1100,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1360,45,71.8,45,70,69.7,70,25,195.64,8.64,19800,-3850,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1380,33.25,56,30.65,55.4,56,55.4,94,735.34,21.88,25850,-13200,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1400,18.75,43.5,18.75,42.6,43,42.6,876,6914.61,169.41,56650,-64350,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1420,16.55,33.15,14.9,32,32.5,32,986,7854.04,153.38,67100,20900,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1440,11.1,24.4,10.1,23.45,24,23.45,722,5799.61,81.37,69850,37950,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1460,7.5,17.5,6.8,16.4,16.5,16.4,363,2943.8,28.91,45100,24750,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1480,6,11.75,6,11.35,11.2,11.35,100,819.79,5.79,23100,14850,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1500,3.2,7.8,3.2,7.4,7.8,7.4,176,1458.18,6.18,52800,14850,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1520,4,5.2,4,4.5,4.5,4.5,15,125.77,0.37,8250,7150,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1540,2.4,3,2.4,3,3,3,4,33.94,0.06,4400,2200,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1560,0,0,0,3.7,3.7,4.3,0,0,0,1100,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1580,0,0,0,3.2,3.2,2.85,0,0,0,0,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1600,1.4,1.4,1.4,1.4,1.4,1.4,3,26.42,0.02,3300,1650,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1620,0,0,0,35.4,0,1.2,0,0,0,0,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1640,0,0,0,31.3,0,0.75,0,0,0,0,0,1420.75
BATAINDIA,10-Jun-2019,27-Jun-2019,CE,1040,0,0,0,394.65,0,383.85,0,0,0,0,0,1420.75
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1020,0,0,0,2.7,2.7,0,0,0,0,1650,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1660,0,0,0,243.5,0,263.45,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1060,0,0,0,2.65,0,0,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1080,0,0,0,3.5,0,0,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1100,0,0,0,3,3,0.05,0,0,0,1100,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1120,0,0,0,6,0,0.05,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1140,0,0,0,7.7,0,0.1,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1160,0,0,0,9.7,0,0.15,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1180,0,0,0,12.1,0,0.3,0,0,0,0,0,1390.7
